,date,value
342,2019-01-09,10506417.361700008
343,2019-01-10,10514362.592800008
344,2019-01-11,10514362.592800008
345,2019-01-15,10533806.498000007
346,2019-01-16,10536222.614900008
347,2019-01-17,10552539.342800006
348,2019-01-18,10547339.445300007
349,2019-01-21,10556529.168900007
350,2019-01-22,10557256.168900007
351,2019-01-23,10516805.402600007
352,2019-01-24,10517416.446500007
353,2019-01-25,10485564.386800008
354,2019-01-28,10493648.343400007
355,2019-01-29,10513644.984500008
356,2019-01-30,10528816.743900008
357,2019-01-31,10445582.585200008
358,2019-02-01,10449986.434800008
359,2019-02-04,10457497.170700008
360,2019-02-05,10475877.700000009
361,2019-02-06,10502136.070500009
362,2019-02-07,10500329.575600008
363,2019-02-08,10454989.547100008
364,2019-02-12,10453567.386200007
365,2019-02-13,10470929.442000007
366,2019-02-14,10492121.632100008
367,2019-02-15,10504255.309400007
368,2019-02-18,10511134.309400007
369,2019-02-19,10510944.328300007
370,2019-02-20,10541295.563900007
371,2019-02-21,10585366.849400008
372,2019-02-22,10593586.861100007
373,2019-02-25,10631555.501700006
374,2019-02-26,10662223.742100008
375,2019-02-27,10668702.259100009
376,2019-02-28,10669437.305100007
377,2019-03-01,10679898.747800007
378,2019-03-04,10731553.414600007
379,2019-03-05,10733232.793300007
380,2019-03-06,10737215.159500007
381,2019-03-07,10737215.159500007
382,2019-03-08,10737215.159500007
383,2019-03-11,10722351.405100007
384,2019-03-12,10643276.405100007
385,2019-03-13,10632561.582200008
386,2019-03-14,10632550.813300008
387,2019-03-15,10616242.582400007
388,2019-03-18,10616122.124400008
389,2019-03-19,10616122.124400008
390,2019-03-20,10576367.243900008
391,2019-03-22,10537793.560800008
392,2019-03-25,10537793.560800008
393,2019-03-26,10444336.714500006
394,2019-03-27,10483887.382000007
395,2019-03-28,10483724.583700007
396,2019-03-29,10500300.490300007
397,2019-04-01,10547340.207900006
398,2019-04-02,10547224.312900007
399,2019-04-03,10582183.083300008
400,2019-04-04,10596805.573500007
401,2019-04-05,10616902.031300008
402,2019-04-08,10614379.101500008
403,2019-04-09,10584395.235700008
404,2019-04-10,10584395.235700008
405,2019-04-11,10570601.761100007
406,2019-04-12,10570601.761100007
407,2019-04-15,10619332.295300007
408,2019-04-16,10629695.662400007
409,2019-04-17,10673003.318600006
410,2019-04-18,10673003.318600006
411,2019-04-19,10687006.317000007
412,2019-04-22,10639029.997100007
413,2019-04-23,10593024.922700007
414,2019-04-24,10639075.946200008
415,2019-04-25,10644855.594700007
416,2019-04-26,10673158.944900006
417,2019-05-07,10673142.985900007
418,2019-05-08,10673142.985900007
419,2019-05-09,10673142.985900007
420,2019-05-10,10640454.481900007
421,2019-05-13,10626655.481900007
422,2019-05-14,10497843.331500007
423,2019-05-15,10445481.321600007
424,2019-05-16,10450188.246500008
425,2019-05-17,10450188.246500008
426,2019-05-20,10452899.910400007
427,2019-05-21,10381675.648100007
428,2019-05-22,10381675.648100007
429,2019-05-23,10381675.648100007
430,2019-05-24,10381675.648100007
431,2019-05-27,10381675.648100007
432,2019-05-28,10360857.382600008
433,2019-05-29,10295950.090200007
434,2019-05-30,10295950.090200007
435,2019-05-31,10295950.090200007
436,2019-06-03,10295950.090200007
437,2019-06-04,10345619.990700006
438,2019-06-05,10304455.951600008
439,2019-06-06,10340491.443300007
440,2019-06-07,10340491.443300007
441,2019-06-10,10374518.601000007
442,2019-06-11,10383964.620000007
443,2019-06-12,10405408.787700007
444,2019-06-13,10405408.787700007
445,2019-06-14,10410178.089400008
446,2019-06-17,10448670.360000007
447,2019-06-18,10448670.360000007
448,2019-06-19,10455992.561300008
449,2019-06-20,10469403.273500007
450,2019-06-21,10469320.342100007
451,2019-06-24,10471412.214700006
452,2019-06-25,10471412.214700006
453,2019-06-26,10471412.214700006
454,2019-06-27,10477790.157600008
455,2019-06-28,10462126.528300006
456,2019-07-01,10483960.528300006
457,2019-07-02,10542863.528300006
458,2019-07-03,10542840.775300007
459,2019-07-04,10544944.464100007
460,2019-07-05,10550857.719600007
461,2019-07-08,10550857.719600007
462,2019-07-09,10560424.719600007
463,2019-07-10,10576909.888000008
464,2019-07-11,10596561.176100008
465,2019-07-12,10574120.604800008
466,2019-07-16,10578595.088600006
467,2019-07-17,10583735.801700007
468,2019-07-18,10583735.801700007
469,2019-07-19,10593756.962700007
470,2019-07-22,10547899.430500008
471,2019-07-23,10575344.697000008
472,2019-07-24,10574699.482000008
473,2019-07-25,10590661.518800007
474,2019-07-26,10676913.605000008
475,2019-07-29,10695136.605000008
476,2019-07-30,10687777.445200007
477,2019-07-31,10715941.238500006
478,2019-08-01,10673700.023300007
479,2019-08-02,10673700.023300007
480,2019-08-05,10673700.023300007
481,2019-08-06,10607403.503900006
482,2019-08-07,10610002.168100007
483,2019-08-08,10593193.402400007
484,2019-08-09,10552250.004900008
485,2019-08-13,10552250.004900008
486,2019-08-14,10476335.004900008
487,2019-08-15,10476272.847300008
488,2019-08-16,10486536.224600008
489,2019-08-19,10325922.726400008
490,2019-08-20,10362507.912900008
491,2019-08-21,10335993.439300008
492,2019-08-22,10323579.478900008
493,2019-08-23,10352116.202500008
494,2019-08-26,10352116.202500008
495,2019-08-27,10306106.436100006
496,2019-08-28,10316163.672300007
497,2019-08-29,10281045.023600008
498,2019-08-30,10287930.413500007
499,2019-09-02,10295820.617400007
500,2019-09-03,10312868.125000007
501,2019-09-04,10281960.498300008
502,2019-09-05,10337993.393700007
503,2019-09-06,10395834.825000007
504,2019-09-09,10433857.564300008
505,2019-09-10,10430167.549100008
506,2019-09-11,10463654.387600008
507,2019-09-12,10463654.387600008
508,2019-09-13,10463627.357600007
509,2019-09-17,10463627.357600007
510,2019-09-18,10480991.152500007
511,2019-09-19,10537917.653100006
512,2019-09-20,10503567.478200007
513,2019-09-24,10544211.858700007
514,2019-09-25,10549333.657700008
515,2019-09-26,10564981.970000006
516,2019-09-27,10564981.970000006
517,2019-09-30,10547902.206400007
518,2019-10-01,10595080.573200006
519,2019-10-02,10587807.404500008
520,2019-10-03,10590340.675800007
521,2019-10-04,10607272.129300008
522,2019-10-07,10589909.210700007
523,2019-10-08,10632611.240100008
524,2019-10-09,10636802.656400006
525,2019-10-10,10637960.656400006
526,2019-10-11,10638712.078800008
527,2019-10-15,10663121.442000007
528,2019-10-16,10635956.034500007
529,2019-10-17,10654693.579800008
530,2019-10-18,10678283.216000007
531,2019-10-21,10678283.216000007
532,2019-10-23,10689394.368600007
533,2019-10-24,10702927.939100008
534,2019-10-25,10747015.815300006
535,2019-10-28,10779104.082100008
536,2019-10-29,10778835.961000007
537,2019-10-30,10779253.049700007
538,2019-10-31,10788148.647600006
539,2019-11-01,10826598.000200007
540,2019-11-05,10890934.367500007
541,2019-11-06,10900715.772900008
542,2019-11-07,10921566.502000008
543,2019-11-08,10909125.798100008
544,2019-11-11,10937999.758000007
545,2019-11-12,10913685.497200008
546,2019-11-13,10913668.881600007
547,2019-11-14,10913668.881600007
548,2019-11-15,10911899.008100007
549,2019-11-18,10911876.528100008
550,2019-11-19,10933687.033800008
551,2019-11-20,10926542.094000008
552,2019-11-21,10926542.094000008
553,2019-11-22,10904385.903300008
554,2019-11-25,10908635.707300007
555,2019-11-26,10913565.431300007
556,2019-11-27,10938546.661800008
557,2019-11-28,10947511.353500007
558,2019-11-29,10974997.060300007
559,2019-12-02,11024683.699100006
560,2019-12-03,11027572.114700008
561,2019-12-04,11040501.606100008
562,2019-12-05,11074537.516300008
563,2019-12-06,11112122.237200007
564,2019-12-09,11185013.030300006
565,2019-12-10,11182332.000600006
566,2019-12-11,11182332.000600006
567,2019-12-12,11173039.044900008
568,2019-12-13,11215439.615000008
569,2019-12-16,11207977.157800008
570,2019-12-17,11227297.993000008
571,2019-12-18,11220500.298400007
572,2019-12-19,11232638.310500007
573,2019-12-20,11246354.501300007
574,2019-12-23,11254055.733900007
